college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3391,武汉工程大学邮电与信息工程学院,500,选考化学,473,,visual_ocr_needs_spotcheck,92111,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3392,武汉工程科技学院,500,选考化学,463,,visual_ocr_needs_spotcheck,100752,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3393,武汉工商学院,500,选考化学,478,,visual_ocr_needs_spotcheck,87828,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3393,武汉工商学院,999,不限选考科目,471,,visual_ocr_needs_spotcheck,93819,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3394,武汉华夏理工学院,500,选考化学,477,,visual_ocr_needs_spotcheck,88668,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3394,武汉华夏理工学院,999,不限选考科目,471,,visual_ocr_needs_spotcheck,93819,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3395,武汉科技大学,500,选考化学,585,,visual_ocr_needs_spotcheck,18234,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3395,武汉科技大学,999,不限选考科目,564,,visual_ocr_needs_spotcheck,27712,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3396,武汉理工大学,500,选考化学,607,,visual_ocr_needs_spotcheck,10504,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3397,武汉理工大学(中外合作),500,选考化学,593,,visual_ocr_needs_spotcheck,15145,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3398,武汉晴川学院,500,选考化学,475,,visual_ocr_needs_spotcheck,90360,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3398,武汉晴川学院,999,不限选考科目,469,,visual_ocr_needs_spotcheck,95545,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3399,武汉轻工大学,500,选考化学,544,,visual_ocr_needs_spotcheck,38598,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3400,武汉轻工大学（中外合作）1,500,选考化学,512,,visual_ocr_needs_spotcheck,60283,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3400,武汉轻工大学（中外合作）1,999,不限选考科目,504,,visual_ocr_needs_spotcheck,66452,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3401,武汉轻工大学（中外合作）2,500,选考化学,504,,visual_ocr_needs_spotcheck,66452,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
